-182.241, 71.937, 2.580,  4.405
-182.230, 71.851, 2.605,  4.438
-182.222, 71.764, 2.609,  4.471
-182.212, 71.678, 2.601,  4.504
-182.202, 71.592, 2.587,  4.537
-182.194, 71.507, 2.580,  4.570
-182.184, 71.421, 2.604,  4.603
-182.175, 71.333, 2.636,  4.636
-182.165, 71.246, 2.651,  4.669
-182.157, 71.158, 2.633,  4.702
-182.153, 71.071, 2.588,  4.735
-182.146, 70.986, 2.562,  4.768
-182.140, 70.902, 2.541,  4.801
-182.132, 70.817, 2.553,  4.834
-182.125, 70.732, 2.579,  4.867
-182.117, 70.645, 2.604,  4.900
-182.109, 70.559, 2.601,  4.933
-182.103, 70.473, 2.568,  4.966
-182.095, 70.389, 2.542,  4.999
-182.087, 70.305, 2.530,  5.032
-182.079, 70.221, 2.541,  5.065
-182.073, 70.135, 2.560,  5.098
-182.066, 70.050, 2.572,  5.131
-182.058, 69.965, 2.558,  5.164
-182.053, 69.881, 2.516,  5.197
-182.046, 69.798, 2.483,  5.230
-182.039, 69.717, 2.466,  5.263
-182.032, 69.635, 2.476,  5.296
-182.027, 69.551, 2.503,  5.329
-182.020, 69.467, 2.528,  5.362
-182.015, 69.383, 2.520,  5.395
-182.013, 69.300, 2.488,  5.428
-182.008, 69.218, 2.466,  5.461
-182.001, 69.136, 2.455,  5.494
-181.997, 69.054, 2.465,  5.527
-181.991, 68.971, 2.501,  5.560
-181.985, 68.887, 2.527,  5.593
-181.980, 68.803, 2.521,  5.626
-181.975, 68.720, 2.497,  5.659
-181.971, 68.637, 2.468,  5.692
-181.969, 68.556, 2.453,  5.725
-181.965, 68.474, 2.470,  5.758
-181.959, 68.390, 2.506,  5.791
-181.955, 68.306, 2.534,  5.824
-181.954, 68.221, 2.544,  5.857
-181.950, 68.136, 2.552,  5.890
-181.947, 68.050, 2.565,  5.923
-181.942, 67.964, 2.601,  5.956
-181.936, 67.876, 2.655,  5.989
-181.931, 67.786, 2.699,  6.022
-181.926, 67.696, 2.711,  6.055
-181.920, 67.606, 2.696,  6.088
-181.915, 67.517, 2.676,  6.121
-181.909, 67.428, 2.668,  6.154
-181.904, 67.339, 2.683,  6.187
-181.901, 67.249, 2.722,  6.220
-181.896, 67.156, 2.783,  6.253
-181.893, 67.062, 2.831,  6.286
-181.888, 66.967, 2.852,  6.319
-181.886, 66.872, 2.840,  6.352
-181.881, 66.778, 2.824,  6.385
-181.879, 66.685, 2.814,  6.418
-181.875, 66.591, 2.830,  6.451
-181.870, 66.495, 2.874,  6.484
-181.865, 66.398, 2.936,  6.517
-181.862, 66.299, 2.984,  6.550
-181.858, 66.198, 3.005,  6.583
-181.854, 66.098, 2.997,  6.616
-181.849, 65.999, 2.980,  6.649
-181.844, 65.901, 2.971,  6.682
-181.840, 65.801, 2.984,  6.715
-181.835, 65.701, 3.025,  6.748
-181.830, 65.599, 3.085,  6.781
-181.826, 65.494, 3.135,  6.814
-181.823, 65.389, 3.151,  6.847
-181.819, 65.285, 3.141,  6.880
-181.817, 65.181, 3.118,  6.913
-181.813, 65.077, 3.108,  6.946
-181.811, 64.974, 3.115,  6.979
-181.808, 64.869, 3.153,  7.012
-181.806, 64.762, 3.208,  7.045
-181.802, 64.654, 3.259,  7.078
-181.798, 64.545, 3.280,  7.111
-181.794, 64.436, 3.269,  7.144
-181.790, 64.328, 3.248,  7.177
-181.786, 64.220, 3.236,  7.210
-181.785, 64.112, 3.241,  7.243
-181.781, 64.003, 3.272,  7.276
-181.777, 63.893, 3.310,  7.309
-181.774, 63.782, 3.331,  7.342
-181.770, 63.672, 3.322,  7.375
-181.768, 63.562, 3.294,  7.408
-181.767, 63.453, 3.269,  7.441
-181.767, 63.344, 3.261,  7.474
-181.767, 63.235, 3.280,  7.507
-181.764, 63.125, 3.321,  7.540
-181.761, 63.013, 3.358,  7.573
